date,ADM2_EN,rfh_avg
1981-01,Bagerhat,2.9070666666666667
1981-01,Bandarban,1.4257333333333333
1981-01,Barguna,2.6001999999999996
1981-01,Barisal,2.0777666666666668
1981-01,Bhola,1.3188333333333333
1981-01,Bogra,2.7581666666666664
1981-01,Brahamanbaria,2.995033333333333
1981-01,Chandpur,2.2583
1981-01,Chittagong,1.6746666666666667
1981-01,Chuadanga,3.7655999999999996
1981-01,Comilla,2.1465333333333336
1981-01,Cox's Bazar,1.3634000000000002
1981-01,Dhaka,1.9950666666666665
1981-01,Dinajpur,3.2309666666666668
1981-01,Faridpur,2.139866666666667
1981-01,Feni,2.079966666666667
1981-01,Gaibandha,3.2195666666666667
1981-01,Gazipur,2.6854333333333336
1981-01,Gopalganj,2.5409
1981-01,Habiganj,2.876533333333333
1981-01,Jamalpur,3.5456333333333334
1981-01,Jessore,3.4086666666666665
1981-01,Jhalokati,2.2138666666666666
1981-01,Jhenaidah,3.8205666666666667
1981-01,Joypurhat,3.1079333333333334
1981-01,Khagrachhari,2.4454
1981-01,Khulna,2.745533333333333
1981-01,Kishoreganj,3.1742333333333335
1981-01,Kurigram,3.501633333333333
1981-01,Kushtia,4.906366666666667
1981-01,Lakshmipur,2.0272666666666668
1981-01,Lalmonirhat,3.0058333333333334
1981-01,Madaripur,2.4157333333333333
1981-01,Magura,3.278966666666667
1981-01,Manikganj,2.5879666666666665
1981-01,Maulvibazar,3.2013
1981-01,Meherpur,4.137866666666667
1981-01,Munshiganj,2.554133333333333
1981-01,Mymensingh,3.282633333333333
1981-01,Naogaon,3.5978333333333334
1981-01,Narail,2.8534333333333333
1981-01,Narayanganj,2.370233333333333
1981-01,Narsingdi,2.8328
1981-01,Natore,3.9028000000000005
1981-01,Nawabganj,3.737
1981-01,Netrakona,3.130133333333333
1981-01,Nilphamari,3.1874000000000002
1981-01,Noakhali,2.0015666666666667
1981-01,Pabna,4.451666666666667
1981-01,Panchagarh,3.2502
1981-01,Patuakhali,1.9717666666666667
1981-01,Pirojpur,2.7333
1981-01,Rajbari,3.2863333333333333
1981-01,Rajshahi,4.625266666666667
1981-01,Rangamati,2.035066666666667
1981-01,Rangpur,2.5664333333333333
1981-01,Satkhira,3.0558333333333336
1981-01,Shariatpur,2.4153333333333333
1981-01,Sherpur,3.4778000000000002
1981-01,Sirajganj,4.2135
1981-01,Sunamganj,3.0469333333333335
1981-01,Sylhet,2.7842333333333333
1981-01,Tangail,3.5043333333333333
1981-01,Thakurgaon,3.321733333333333
1981-02,Bagerhat,6.6155
1981-02,Bandarban,3.3905
1981-02,Barguna,6.135933333333334
1981-02,Barisal,5.927366666666667
1981-02,Bhola,6.200783333333334
1981-02,Bogra,4.067566666666667
1981-02,Brahamanbaria,5.428533333333334
1981-02,Chandpur,4.175866666666667
1981-02,Chittagong,4.279766666666666
1981-02,Chuadanga,5.712433333333333
1981-02,Comilla,4.653333333333333
1981-02,Cox's Bazar,3.089366666666667
1981-02,Dhaka,5.761299999999999
1981-02,Dinajpur,2.773433333333333
1981-02,Faridpur,6.563033333333333
1981-02,Feni,5.0341
1981-02,Gaibandha,3.492366666666667
1981-02,Gazipur,5.010433333333334
1981-02,Gopalganj,6.532
1981-02,Habiganj,6.478533333333334
1981-02,Jamalpur,4.7148666666666665
1981-02,Jessore,7.096566666666667
1981-02,Jhalokati,5.972666666666666
1981-02,Jhenaidah,6.5047999999999995
1981-02,Joypurhat,3.1835
1981-02,Khagrachhari,5.887899999999999
